facility,country_code,country,city,year,pollutant,total_emissions
"Heidelberg Materials AG, Zementwerk Lengfurt",DE,Germany,Triefenstein,2023,NOX,362000
"SCHWENK Zement GmbH & Co. KG, Werk Karlstadt",DE,Germany,Karlstadt,2023,NOX,320000
Lech-Stahlwerke GmbH,DE,Germany,Meitingen,2023,NOX,189000
Oetinger Aluminium GmbH Weißenhorn,DE,Germany,Weißenhorn,2023,NOX,127000
Märker Zement GmbH,DE,Germany,Harburg (Schwaben),2023,NOX,408000
swb Erzeugung AG & Co. KG,DE,Germany,Bremen,2023,NOX,328000
swb Entsorgung GmbH & Co. KG,DE,Germany,Bremen,2023,NOX,213000
ArcelorMittal Bremen GmbH ,DE,Germany,Bremen,2023,NOX,1698000
BRE.M.A Warmwalz GmbH & Co. KG,DE,Germany,Bremen,2023,NOX,383000
swb Entsorgung GmbH & Co. KG,DE,Germany,Bremen,2023,NOX,359000
Onyx Kraftwerk Farge GmbH & Co. KGaA ,DE,Germany,Bremen,2023,NOX,208000
Bremerhavener Entsorgungsgesellschaft mbH,DE,Germany,Bremerhaven,2023,NOX,226000
HIM GmbH,DE,Germany,Biebesheim am Rhein,2023,NOX,101000
"Mainova, HKW West",DE,Germany,"Frankfurt am Main, St.",2023,NOX,300000
AVA/HKW Nordweststadt,DE,Germany,"Frankfurt am Main, St.",2023,NOX,340000
InfraServ GmbH & Co. Höchst KG,DE,Germany,"Frankfurt am Main, St.",2023,NOX,567000
BKF - Biomasse-Kraftwerk Fechenheim GmbH,DE,Germany,"Frankfurt am Main, St.",2023,NOX,121000
Uniper Kraftwerk Staudinger,DE,Germany,Großkrotzenburg,2023,NOX,495000
EVO - MHKW Offenbach,DE,Germany,"Offenbach a. M., St.",2023,NOX,113000
Thermal Conversion Compound Industriepark Höchst GmbH,DE,Germany,"Frankfurt am Main, St.",2023,NOX,359000
Papierfabrik A. Jass GmbH & Co.KG,DE,Germany,Fulda,2023,NOX,198000
ZKW Otterbein Zementwerk,DE,Germany,Großenlüder,2023,NOX,112000
EEW Energy from Waste Heringen GmbH,DE,Germany,Heringen (Werra),2023,NOX,165000
B+T Energie GmbH,DE,Germany,Witzenhausen,2023,NOX,128000
Dyckerhoff GmbH Werk Amöneburg,DE,Germany,"Wiesbaden, Stadt",2023,NOX,113000
InfraServ (Kalle-Albert),DE,Germany,"Wiesbaden, Stadt",2023,NOX,104000
Biomasse Rhein-Main GmbH (MVV Umwelt Asset GmbH),DE,Germany,Flörsheim am Main,2023,NOX,118000
KNG Kraftwerks- und Netzgesellschaft mbH Kraftwerk Rostock ,DE,Germany,Rostock,2023,NOX,573000
YARA GmbH & Co. KG ,DE,Germany,Poppendorf,2023,NOX,307000
Vattenfall Europe New Energy Ecopower GmbH Betriebsstätte HKW Rostock ,DE,Germany,Rostock,2023,NOX,127000
"Faserplattenherstellungsanlage EGGER, Wismar ",DE,Germany,Wismar,2023,NOX,323000
HKW EBS Stavenhagen ,DE,Germany,Stavenhagen,2023,NOX,142000
EEW Energy from Waste Helmstedt GmbH,DE,Germany,Büddenstedt,2023,NOX,308000
Kraftwerk Mehrum GmbH ,DE,Germany,Hohenhameln,2023,NOX,375000
"Braunschweiger Versorgungs-AG & Co. KG, Heizkraftwerk Mitte",DE,Germany,"Braunschweig, Stadt",2023,NOX,249000
"Volkswagen AG,  Werk Kassel",DE,Germany,Baunatal,2023,NOX,198000
Werk Werra Standort Hattorf,DE,Germany,Philippsthal (Werra),2023,NOX,273000
Werk Werra Standort Wintershall,DE,Germany,Heringen (Werra),2023,NOX,264000
"Schaefer Kalk GmbH & Co. KG, Werk Steeden",DE,Germany,"Runkel, St.",2023,NOX,147000
Buderus Edelstahl GmbH,DE,Germany,Wetzlar,2023,NOX,199000
Aurubis AG ,DE,Germany,Hamburg,2023,NOX,169000
MVR Müllverwertung Rugenberger Damm GmbH ,DE,Germany,Hamburg,2023,NOX,132000
"Müllverwertung Borsigstraße GmbH, (MVB) ",DE,Germany,Hamburg,2023,NOX,156000
Deutsche ReGas GmbH & Co. KGaA / Industriehafen Lubmin,DE,Germany,Lubmin,2023,NOX,262000
HKW Altholz ,DE,Germany,Malchin,2023,NOX,152000
Peiner Träger GmbH ,DE,Germany,Peine,2023,NOX,278000
enercity AG Heizkraftwerk Linden,DE,Germany,Hannover,2023,NOX,122000
EEW Energy from Waste Hannover GmbH,DE,Germany,Hannover,2023,NOX,160000
GKH - Gemeinschaftskraftwerk Hannover GmbH,DE,Germany,Hannover,2023,NOX,738000
Salzgitter Flachstahl GmbH ,DE,Germany,Salzgitter,2023,NOX,3348000
Fels-Werke GmbH Kalkwerk Münchehof,DE,Germany,Seesen,2023,NOX,102000
Volkswagen AG Werk Wolfsburg,DE,Germany,Wolfsburg,2023,NOX,713000
Dow Deutschland Anlagenges. mbH Werk Stade,DE,Germany,Stade,2023,NOX,395000
Klingele Paper Weener SE & Co. KG Kraftwerk,DE,Germany,"Weener, Stadt",2023,NOX,138000
MEYER WERFT GmbH & Co. KG ,DE,Germany,"Papenburg, Stadt",2023,NOX,238000
Holcim (Deutschland) GmbH Werk Höver,DE,Germany,Sehnde,2023,NOX,327000
Ardagh Glass GmbH ,DE,Germany,Nienburg,2023,NOX,264000
Heidelberg Materials AG Zementwerke Hannover,DE,Germany,"Hannover, Landeshauptstadt",2023,NOX,208000
Enertec Hameln GmbH ,DE,Germany,Hameln,2023,NOX,182000
O-I Germany GmbH & Co. KG Werk Rinteln,DE,Germany,Rinteln,2023,NOX,154000
O-I Germany GmbH & Co. KG Werk Holzminden,DE,Germany,Holzminden,2023,NOX,163000
Egger Beschichtungswerk Marienmünster GmbH & Co. KG,DE,Germany,Bevern,2023,NOX,102000
Sappi Alfeld GmbH ,DE,Germany,Alfeld,2023,NOX,187000
Nordzucker AG Werk Uelzen,DE,Germany,Uelzen,2023,NOX,195000
Onyx Kraftwerk Wilhelmshaven GmbH & Co. KG,DE,Germany,Wilhelmshaven,2023,NOX,345000
Papier- u. Kartonfabrik Varel GmbH & Co. KG,DE,Germany,Varel,2023,NOX,138000
EVI Abfallverwertung B.V. & Co. KG ,DE,Germany,Laar,2023,NOX,159000
BP Europa SE BP Lingen,DE,Germany,"Lingen (Ems), Stadt",2023,NOX,717000
RWE Generation SE Gaskraftwerk Emsland,DE,Germany,Lingen,2023,NOX,522000
Georgsmarienhütte GmbH ,DE,Germany,Georgsmarienhütte,2023,NOX,148000
EMPG - EAA Großenkneten Erdgas-Aufbereitungsanlage,DE,Germany,Großenkneten,2023,NOX,123000
Henkel AG & Co. KGaA,DE,Germany,Düsseldorf,2023,NOX,185000
Stadtwerke Düsseldorf AG,DE,Germany,Düsseldorf,2023,NOX,357000
Stadtwerke Düsseldorf AG,DE,Germany,Düsseldorf,2023,NOX,355000
BASF Personal Care and Nutrition GmbH,DE,Germany,Düsseldorf,2023,NOX,136000
thyssenkrupp Steel Europe AG Kraftwerk Hamborn,DE,Germany,Duisburg,2023,NOX,836000
Hüttenwerke Krupp Mannesmann GmbH,DE,Germany,Duisburg,2023,NOX,3003000
thyssenkrupp Steel Europe AG Werk Bruckhausen,DE,Germany,Duisburg,2023,NOX,546000
thyssenkrupp Steel Europe AG Werk Beeckerwerth,DE,Germany,Duisburg,2023,NOX,701000
thyssenkrupp Steel Europe AG Werk Hamborn,DE,Germany,Duisburg,2023,NOX,170000
Hüttenwerke Krupp Mannesmann GmbH KW Huckingen,DE,Germany,Duisburg,2023,NOX,458000
thyssenkrupp Steel Europe AG Werk Schwelgern,DE,Germany,Duisburg,2023,NOX,4609000
Stadtwerke Duisburg AG,DE,Germany,Duisburg,2023,NOX,120000
Venator Germany GmbH,DE,Germany,Duisburg,2023,NOX,118000
Verallia Deutschland AG,DE,Germany,Essen,2023,NOX,237000
EGK Entsorgungsgesellschaft Krefeld GmbH & Co. KG,DE,Germany,Krefeld,2023,NOX,211000
CURRENTA GmbH & Co. OHG,DE,Germany,Krefeld,2023,NOX,308000
GMVA Gemeinschafts-Müllverbrennungsanlage Niederrhein GmbH,DE,Germany,Oberhausen,2023,NOX,513000
OQ Chemicals Produktion GmbH & Co. KG Werk Ruhrchemie,DE,Germany,Oberhausen,2023,NOX,132000
Technische Betriebe Solingen Müllheizkraftwerk,DE,Germany,Solingen,2023,NOX,101000
STEAG Power GmbH,DE,Germany,Duisburg,2023,NOX,643000
thyssenkrupp Steel Europe AG Kraftwerk Ruhrort,DE,Germany,Duisburg,2023,NOX,534000
thyssenkrupp Steel Europe AG Werk Kokerei Schwelgern,DE,Germany,Duisburg,2023,NOX,1708000
Gerresheimer Essen GmbH,DE,Germany,Essen,2023,NOX,120000
RWE Generation SE MHKW Karnap,DE,Germany,Essen,2023,NOX,321000
AWG Abfallwirtschaftsgesellschaft mbH Wuppertal,DE,Germany,Wuppertal,2023,NOX,148000
Kalkwerke H. Oetelshofen GmbH & Co. KG,DE,Germany,Wuppertal,2023,NOX,134000
Rheinkalk GmbH,DE,Germany,Wülfrath,2023,NOX,1208000
RWE Generation SE GuD-Anlage,DE,Germany,Dormagen,2023,NOX,292000
RWE Power AG - Kraftwerk Neurath,DE,Germany,Grevenbroich,2023,NOX,10092000
Speira GmbH,DE,Germany,Neuss,2023,NOX,124000
Aluminium Norf GmbH,DE,Germany,Neuss,2023,NOX,243000
Kreis Weseler Abfallgesellschaft mbH & Co. KG Abfallentsorgungszentrum Asdonkshof,DE,Germany,Kamp-Lintfort,2023,NOX,151000
WECK glass and packaging GmbH,DE,Germany,Bonn,2023,NOX,123000
Müllverwertungsanlage Bonn GmbH,DE,Germany,Bonn,2023,NOX,145000
Energie- und Wasserversorgung Bonn/Rhein-Sieg GmbH,DE,Germany,Bonn,2023,NOX,140000
RheinEnergie AG,DE,Germany,Köln,2023,NOX,190000
INEOS Manufacturing Deutschland GmbH,DE,Germany,Köln,2023,NOX,893000
AVG Abfallentsorgungs- und Verwertungsgesellschaft Köln mbH,DE,Germany,Köln,2023,NOX,146000
AVEA Entsorgungsbetriebe GmbH & Co. KG,DE,Germany,Leverkusen,2023,NOX,150000
RWE Power AG,DE,Germany,Eschweiler,2023,NOX,5864000
Martinswerk GmbH,DE,Germany,Bergheim,2023,NOX,176000
RWE Power AG Kraftwerk Niederaußem,DE,Germany,Bergheim,2023,NOX,8230000
RWE Power AG-Fabrik Fortuna Nord,DE,Germany,Bergheim,2023,NOX,285000
RWE Power AG-Fabrik Frechen,DE,Germany,Frechen,2023,NOX,389000
Solvay Chemicals GmbH,DE,Germany,Rheinberg,2023,NOX,422000
"Shell Deutschland GmbH, Shell Energy and Chemicals Park Rheinland Nord",DE,Germany,Köln,2023,NOX,831000
Orion Engineered Carbons GmbH Werk Kalscheuren,DE,Germany,Köln,2023,NOX,671000
RheinEnergie AG (GuD-Heizkraftwerk Niehl),DE,Germany,Köln,2023,NOX,205000
CURRENTA GmbH & Co. OHG,DE,Germany,Leverkusen,2023,NOX,214000
MVA Weisweiler GmbH & Co. KG,DE,Germany,Eschweiler,2023,NOX,137000
Saint-Gobain Glass Deutschland GmbH,DE,Germany,Herzogenrath,2023,NOX,295000
Saint-Gobain Glass Deutschland GmbH,DE,Germany,Stolberg,2023,NOX,231000
EEW Energy from Waste Saarbrücken GmbH,DE,Germany,Hürth,2023,NOX,233000
RWE Power AG Veredlungsstandort Knapsacker Hügel,DE,Germany,Hürth,2023,NOX,873000
Röhm GmbH,DE,Germany,Wesseling,2023,NOX,153000
"Shell Deutschland GmbH, Shell Energy and Chemicals Park Rheinland Süd",DE,Germany,Wesseling,2023,NOX,831000
Basell Polyolefine GmbH Werk Wesseling,DE,Germany,Wesseling,2023,NOX,787000
Smurfit Kappa Zülpich Papier GmbH,DE,Germany,Zülpich,2023,NOX,107000
ArcelorMittal Bremen GmbH Kokerei Prosper,DE,Germany,Bottrop,2023,NOX,307000
Ruhr Oel GmbH Werk Scholven,DE,Germany,Gelsenkirchen,2023,NOX,1452000
Ruhr Oel GmbH Werk Horst,DE,Germany,Gelsenkirchen,2023,NOX,937000
Uniper Kraftwerk Scholven,DE,Germany,Gelsenkirchen,2023,NOX,1265000
Stadtwerke Münster GmbH,DE,Germany,Münster,2023,NOX,101000
Evonik Operations GmbH,DE,Germany,Marl,2023,NOX,1006000
Phoenix Zementwerke Krogbeumker GmbH & Co. KG,DE,Germany,Beckum,2023,NOX,142000
Holcim WestZement GmbH Werk: Kollenbach,DE,Germany,Beckum,2023,NOX,329000
Heidelberg Materials AG Zementwerk Ennigerloh,DE,Germany,Ennigerloh,2023,NOX,239000
Pilkington Deutschland AG -Werk Gladbeck-,DE,Germany,Gladbeck,2023,NOX,712000
AGR mbH,DE,Germany,Herten,2023,NOX,456000
Dyckerhoff GmbH,DE,Germany,Lengerich,2023,NOX,480000
Calcis Lienen GmbH & Co.KG,DE,Germany,Lienen,2023,NOX,103000
Pfleiderer Gütersloh GmbH (Werk 2),DE,Germany,Gütersloh,2023,NOX,101000
Uniper Kraftwerke GmbH Kraftwerk Heyden,DE,Germany,Petershagen,2023,NOX,569000
Benteler Steel/Tube GmbH,DE,Germany,Paderborn,2023,NOX,162000
KG Deutsche Gasrußwerke GmbH & Co,DE,Germany,Dortmund,2023,NOX,697000
Kronospan GmbH,DE,Germany,Steinheim,2023,NOX,382000
Schwering & Hasse Elektrodraht GmbH,DE,Germany,Lügde,2023,NOX,124000
thyssenkrupp Steel Europe AG Werk Bochum-Höntrop,DE,Germany,Bochum,2023,NOX,273000
MHB Betriebsführungsgesellschaft mbH,DE,Germany,Hamm,2023,NOX,167000
Trianel Gaskraftwerk Hamm GmbH & Co. KG,DE,Germany,Hamm,2023,NOX,316000
STEAG Power GmbH,DE,Germany,Herne,2023,NOX,423000
Mark-E Aktiengesellschaft Cuno Heizkraftwerk,DE,Germany,Herdecke,2023,NOX,123000
R.D.M. Arnsberg GmbH,DE,Germany,Arnsberg,2023,NOX,120000
Egger Holzwerkstoffe Brilon GmbH & Co. KG,DE,Germany,Brilon,2023,NOX,258000
AMK Abfallentsorgungsgesellschaft des Märkischen Kreises mbH,DE,Germany,Iserlohn,2023,NOX,110000
Rheinkalk GmbH,DE,Germany,Menden,2023,NOX,239000
thomas zement GmbH & Co. KG Werk Erwitte,DE,Germany,Erwitte,2023,NOX,238000
Portlandzementwerk -Wittekind- Hugo Miebach Söhne KG,DE,Germany,Erwitte,2023,NOX,291000
Spenner GmbH & Co. KG,DE,Germany,Erwitte,2023,NOX,357000
Heidelberg Material AG Zementwerk Geseke (Milke),DE,Germany,Geseke,2023,NOX,238000
Dyckerhoff GmbH Werksgruppe Nord-Werk Geseke-,DE,Germany,Geseke,2023,NOX,130000
Ardagh Glass GmbH,DE,Germany,Lünen,2023,NOX,189000
Aurubis AG,DE,Germany,Lünen,2023,NOX,287000
Biomassekraftwerk Lünen GmbH,DE,Germany,Lünen,2023,NOX,138000
Trianel Kohlekraftwerk Lünen GmbH & Co. KG,DE,Germany,Lünen,2023,NOX,702000
Uniper Kraftwerke GmbH Kraftwerk Datteln IV,DE,Germany,Datteln,2023,NOX,992000
GuD Herne GmbH,DE,Germany,Herne,2023,NOX,291000
Moritz J. Weig GmbH & Co. KG ,DE,Germany,Mayen,2023,NOX,115000
Verallia Deutschland AG ,DE,Germany,Wirges,2023,NOX,180000
Biomasse Heizkraftwerk Siegerland GmbH & Co. KG ,DE,Germany,Liebenscheid,2023,NOX,124000
Röhm GmbH ,DE,Germany,Worms,2023,NOX,327000
Rheinspan GmbH & Co. KG Nolte ,DE,Germany,Germersheim,2023,NOX,218000
Almatis GmbH ,DE,Germany,Ludwigshafen am Rhein,2023,NOX,201000
STEAG Power GmbH Kraftwerk Bergkamen,DE,Germany,Bergkamen,2023,NOX,461000
Kraftwerke Mainz-Wiesbaden AG ,DE,Germany,Mainz,2023,NOX,243000
Schott AG ,DE,Germany,Mainz,2023,NOX,321000
Entsorgungsgesellschaft Mainz mbH ,DE,Germany,Mainz,2023,NOX,280000
Südzucker AG Werk Offstein ,DE,Germany,Obrigheim (Pfalz),2023,NOX,115000
Dyckerhoff GmbH ,DE,Germany,Göllheim,2023,NOX,358000
Ardagh Glass GmbH ,DE,Germany,Germersheim,2023,NOX,189000
BASF SE ,DE,Germany,Ludwigshafen am Rhein,2023,NOX,2827000
Steinbeis Energie GmbH ,DE,Germany,Glückstadt,2023,NOX,184000
YARA Brunsbüttel GmbH ,DE,Germany,Büttel,2023,NOX,103000
Holcim (Deutschland) GmbH ,DE,Germany,Lägerdorf,2023,NOX,545000
Raffinerie Heide GmbH ,DE,Germany,Hemmingstedt,2023,NOX,1402000
Abfallverbrennungs- und Biokompost-Gesellschaft mbH -AVBKG- ,DE,Germany,Tornesch,2023,NOX,109000
SWN Stadtwerke Neumünster GmbH ,DE,Germany,Neumünster,2023,NOX,157000
Stadtwerke Flensburg GmbH ,DE,Germany,Flensburg,2023,NOX,266000
ZKS - Zentralkokerei Saar GmbH ,DE,Germany,Dillingen/Saar,2023,NOX,456000
ROGESA Roheisengesellschaft Saar mbH ,DE,Germany,Dillingen/Saar,2023,NOX,1650000
Heizkraftwerk Nord II ,DE,Germany,Chemnitz,2023,NOX,608000
Palm Power GmbH & Co. KG ,DE,Germany,Wörth am Rhein,2023,NOX,140000
Novelis Casthouse Germany GmbH ,DE,Germany,Koblenz,2023,NOX,188000
Sasol Germany GmbH ,DE,Germany,Brunsbüttel,2023,NOX,166000
Küstenkraftwerk Kiel ,DE,Germany,Kiel,2023,NOX,133000
Ardagh Glass GmbH ,DE,Germany,Wahlstedt,2023,NOX,115000
Hamburger Energiewerke GmbH ,DE,Germany,Wedel,2023,NOX,761000
Saarstahl AG - Werk Burbach ,DE,Germany,Saarbrücken,2023,NOX,106000
Homanit GmbH & Co KG ,DE,Germany,Losheim am See,2023,NOX,150000
AG der Dillinger Hüttenwerke ,DE,Germany,Dillingen/Saar,2023,NOX,322000
Kraftwerk Bexbach ,DE,Germany,Bexbach,2023,NOX,509000
Kraftwerk Weiher ,DE,Germany,Quierschied,2023,NOX,392000
DREWAG HKW Dresden-Reick ,DE,Germany,Dresden,2023,NOX,102000
EVC Dresden-Wilschdorf /Reichenberg ,DE,Germany,Moritzburg,2023,NOX,184000
DREWAG AMD EVC 2 EnergyCenter Wilschdorf ,DE,Germany,Moritzburg,2023,NOX,305000
Dow Olefinverbund GmbH Werk Böhlen ,DE,Germany,Böhlen,2023,NOX,477000
Saint Gobain Glass Flachglas Torgau GmbH ,DE,Germany,Torgau,2023,NOX,438000
LEAG Lausitz Energie Kraftwerke AG  Kraftwerk Lippendorf ,DE,Germany,Neukieritzsch,2023,NOX,5161000
Kraftwerk Boxberg ,DE,Germany,Boxberg/O.L.,2023,NOX,8903000
Kronospan GmbH Lampertswalde ,DE,Germany,Lampertswalde,2023,NOX,199000
DREWAG Gasturbinen-Heizkraftwerk Nossener Brücke ,DE,Germany,Dresden,2023,NOX,201000
CONFIDENTIAL,DE,Germany,CONFIDENTIAL,2023,NOX,153000
Danpower Energie Service GmbH - Biomassekraftwerk (BMKW) Delitzsch ,DE,Germany,Delitzsch,2023,NOX,156000
"Sonae Arauco Deutschland GmbH, Werk Nettgau ",DE,Germany,Jübar,2023,NOX,178000
Saale Energie GmbH ,DE,Germany,Schkopau,2023,NOX,1922000
MHKW Müllheizkraftwerk Rothensee GmbH ,DE,Germany,Magdeburg,2023,NOX,361000
Mercer Stendal GmbH ,DE,Germany,Arneburg,2023,NOX,1119000
EUROGLAS AG ,DE,Germany,Sülzetal,2023,NOX,330000
GUARDIAN Flachglas GmbH ,DE,Germany,Bitterfeld-Wolfen,2023,NOX,371000
EUROGLAS GmbH ,DE,Germany,Haldensleben,2023,NOX,274000
PreZero Energy Zorbau GmbH ,DE,Germany,Lützen,2023,NOX,253000
thomas zement GmbH,DE,Germany,Karsdorf,2023,NOX,493000
"Pfeifer & Langen GmbH & Co. KG, Werk Könnern ",DE,Germany,Könnern,2023,NOX,110000
AGC f glass GmbH ,DE,Germany,Sülzetal,2023,NOX,266000
SKW Stickstoffwerke Piesteritz GmbH ,DE,Germany,"Wittenberg, Lutherstadt",2023,NOX,291000
Kalkwerk Kaltes Tal ,DE,Germany,Oberharz am Brocken,2023,NOX,141000
MVV Umwelt Asset GmbH ,DE,Germany,Leuna,2023,NOX,320000
ROMONTA Reststoffverwertungsgesellschaft mbH ,DE,Germany,Seegebiet Mansfelder Land,2023,NOX,103000
RKB Raffinerie-Kraftwerks Betriebs GmbH ,DE,Germany,Leuna,2023,NOX,459000
PD energy GmbH,DE,Germany,Bitterfeld-Wolfen,2023,NOX,126000
"TOTALEnergies Raffinerie Mitteldeutschland GmbH (Raffinerie, BB01) ",DE,Germany,Spergau,2023,NOX,713000
Ilsenburger Grobblech GmbH ,DE,Germany,Ilsenburg,2023,NOX,322000
REMONDIS Thermische Abfallverwertung GmbH ,DE,Germany,Staßfurt,2023,NOX,259000
Schwenk Zement GmbH & Co. KG Bernburg ,DE,Germany,Bernburg,2023,NOX,488000
"Südzucker AG Mannheim / Ochsenfurt, Werk Zeitz ",DE,Germany,Zeitz,2023,NOX,104000
PreZero Energy GmbH ,DE,Germany,Bernburg,2023,NOX,468000
ROMONTA  Amsdorf ,DE,Germany,Seegebiet Mansfelder Land,2023,NOX,130000
IKW Wählitz ,DE,Germany,Hohenmölsen,2023,NOX,163000
Stadtwerke Leipzig GmbH ,DE,Germany,Lutherstadt Wittenberg,2023,NOX,100000
SOLVAY Chemicals GmbH ,DE,Germany,Bernburg,2023,NOX,208000
CIECH Energy Deutschland GmbH ,DE,Germany,Staßfurt,2023,NOX,105000
Heraeus Quarzglas Bitterfeld GmbH & Co. KG ,DE,Germany,Bitterfeld-Wolfen,2023,NOX,395000
Cargill Deutschland GmbH,DE,Germany,Barby,2023,NOX,340000
CropEnergies Bioethanol GmbH ,DE,Germany,Zeitz,2023,NOX,207000
Werk  Zielitz ,DE,Germany,Zielitz,2023,NOX,195000
Stadtwerke Erfurt / HKW Ost ,DE,Germany,Erfurt,2023,NOX,112000
"Dyckerhoff GmbH, Werk Deuna ",DE,Germany,Niederorschel,2023,NOX,520000
Stahlwerk Thüringen GmbH ,DE,Germany,Unterwellenborn,2023,NOX,108000
Wiegand Glashüttenwerke GmbH ,DE,Germany,"Lauscha, Stadt",2023,NOX,233000
Restabfallbehandlungsanlage (RABA) Zella-Mehlis ,DE,Germany,Zella-Mehlis,2023,NOX,105000
"K+S Minerals and Agriculture GmbH, Werk Werra, Standort Unterbreizbach ",DE,Germany,Unterbreizbach,2023,NOX,142000
"Wiegand- Glashüttenwerke  GmbH, Werk Schleusingen ",DE,Germany,Schleusingen,2023,NOX,169000
Wiegand-Glashüttenwerke GmbH ,DE,Germany,Großbreitenbach,2023,NOX,172000
Mercer Rosenthal GmbH ,DE,Germany,Blankenstein,2023,NOX,818000
Cimalux S.A.,LU,Luxembourg,Rumelange,2023,NOX,352000
Kronospan Energy s.a.,LU,Luxembourg,Sanem,2023,NOX,221000
Chemelot Site Permit BV,NL,Netherlands,Geleen,2023,NOX,1670000
O-I Netherlands BV (Maastricht),NL,Netherlands,Maastricht,2023,NOX,274000
Smurfit Kappa Roermond Papier BV,NL,Netherlands,Roermond,2023,NOX,121000
Rockwool B.V.,NL,Netherlands,Roermond,2023,NOX,117000
Lyondell Chemical Nederland Ltd.,NL,Netherlands,Botlek Rotterdam,2023,NOX,133000
Shell Nederland Raffinaderij BV,NL,Netherlands,Vondelingenplaat Rotterdam,2023,NOX,1520000
ArcelorMittal Belval & Differdange S.A.,LU,Luxembourg,Esch-sur-Alzette,2023,NOX,180000
ArcelorMittal Belval & Differdange S.A.,LU,Luxembourg,Esch-sur-Alzette,2023,NOX,176000
BP Raffinaderij Rotterdam B.V.,NL,Netherlands,Europoort Rotterdam,2023,NOX,1430000
Almatis BV,NL,Netherlands,Botlek Rotterdam,2023,NOX,118000
HVC AfvalEnergieCentrale Dordrecht,NL,Netherlands,Dordrecht,2023,NOX,106000
O-I Netherlands BV (Leerdam),NL,Netherlands,Leerdam,2023,NOX,267000
Cabot B.V.,NL,Netherlands,Botlek Rotterdam,2023,NOX,314000
Tata Steel IJmuiden BV,NL,Netherlands,Velsen-Noord,2023,NOX,4270000
AEB Amsterdam,NL,Netherlands,Amsterdam,2023,NOX,500000
HVC N.V.,NL,Netherlands,Alkmaar,2023,NOX,296000
Shell Nederland Chemie BV (Moerdijk),NL,Netherlands,Moerdijk,2023,NOX,1280000
SABIC Innovative Plastics BV,NL,Netherlands,Bergen Op Zoom,2023,NOX,209000
Afvalstoffen Terminal Moerdijk BV (ATM),NL,Netherlands,Moerdijk,2023,NOX,155000
BV Afvalverbranding Zuid Nederland (AZN),NL,Netherlands,Moerdijk,2023,NOX,402000
Ardagh Glass Dongen BV,NL,Netherlands,Dongen,2023,NOX,287000
Saint Gobain Construction Products NL BV,NL,Netherlands,Etten-Leur,2023,NOX,121000
WKC Moerdijk,NL,Netherlands,Moerdijk,2023,NOX,119000
Dow Benelux BV (Hoek),NL,Netherlands,Hoek,2023,NOX,1670000
YARA Sluiskil BV,NL,Netherlands,Sluiskil,2023,NOX,702000
Zeeland Refinery N.V.,NL,Netherlands,Nieuwdorp,2023,NOX,595000
Nobian Chemicals BV (Hengelo),NL,Netherlands,Hengelo,2023,NOX,161000
locatie Boeldershoek,NL,Netherlands,Hengelo,2023,NOX,217000
Attero BV,NL,Netherlands,Wijster,2023,NOX,139000
Gunvor Energy Rotterdam B.V. (GPR),NL,Netherlands,Europoort Rotterdam,2023,NOX,189000
Esso Nederland BV (Raffinaderij Rotterdam),NL,Netherlands,Botlek Rotterdam,2023,NOX,924000
AVR-Afvalverwerking,NL,Netherlands,Botlek Rotterdam,2023,NOX,367000
Uniper Benelux NV (Maasvlakte),NL,Netherlands,Maasvlakte Rotterdam,2023,NOX,696000
Vattenfall Power Generation B.V. (Hemweg),NL,Netherlands,Amsterdam,2023,NOX,167000
Vattenfall Power Generation B.V. (Diemen),NL,Netherlands,Diemen,2023,NOX,348000
Vattenfall Power Generation B.V. (Velsen),NL,Netherlands,Velsen-Noord,2023,NOX,570000
Amer Centrale,NL,Netherlands,Geertruidenberg,2023,NOX,621000
PreZero Energy Roosendaal B.V.,NL,Netherlands,Roosendaal,2023,NOX,136000
AVR Afvalverwerking BV (Duiven),NL,Netherlands,Duiven,2023,NOX,125000
ARN B.V.,NL,Netherlands,Weurt,2023,NOX,140000
Smurfit Kappa Parenco B.V.,NL,Netherlands,Renkum,2023,NOX,102000
Wienerberger Steenfabriek Kijfwaard West,NL,Netherlands,Pannerden,2023,NOX,101000
Nedmag B.V.,NL,Netherlands,Veendam,2023,NOX,220000
ENGIE Energie Nederland NV,NL,Netherlands,Eemshaven,2023,NOX,465000
Delesto B.V.,NL,Netherlands,Farmsum,2023,NOX,172000
Maxima-centrale,NL,Netherlands,Lelystad,2023,NOX,293000
Recycling Kombinatie REKO B.V.,NL,Netherlands,Vondelingenplaat Rotterdam,2023,NOX,131000
EMMTEC Services BV,NL,Netherlands,Emmen,2023,NOX,107000
Sloe Centrale BV (Vlissingen),NL,Netherlands,Ritthem,2023,NOX,324000
RWE Eemshaven Magnum B.V.,NL,Netherlands,Eemshaven,2023,NOX,344000
RWE Eemshaven Holding II B.V.,NL,Netherlands,Eemshaven,2023,NOX,1000000
Pergen VOF,NL,Netherlands,Pernis Rotterdam,2023,NOX,331000
EP NL Rijnmond 1,NL,Netherlands,Vondelingenplaat Rotterdam,2023,NOX,226000
Eneco Lage Weide,NL,Netherlands,Utrecht,2023,NOX,244000
EP NL Rijnmond 2 CV,NL,Netherlands,Vondelingenplaat Rotterdam,2023,NOX,164000
Power Plant Rotterdam,NL,Netherlands,Maasvlakte Rotterdam,2023,NOX,281000
