facility,country_code,country,city,year,pollutant,total_emissions
ELECTRICITE DE MAYOTTE,FR,France,DZAOUDZI,2023,NOX,427000
CIMENTS CALCIA,FR,France,RANVILLE,2023,NOX,488000
ISIGNY SAINTE-MERE,FR,France,ISIGNY-SUR-MER,2023,NOX,152000
SAICA PAPER FRANCE,FR,France,VENIZEL,2023,NOX,121000
VERALLIA FRANCE,FR,France,CHALON-SUR-SAONE,2023,NOX,388000
SAVERGLASS,FR,France,FEUQUIERES,2023,NOX,163000
VICAT,FR,France,CRECHY,2023,NOX,418000
ROCKWOOL FRANCE SAS,FR,France,SAINT-ELOY-LES-MINES,2023,NOX,130000
COMPAGNIE ELECTRIQUE DE BRETAGNE,FR,France,LANDIVISIAU,2023,NOX,150000
SAINT GOBAIN GLASS,FR,France,THOUROTTE,2023,NOX,118000
DALKIA BIOMASSE RENNES,FR,France,RENNES,2023,NOX,139000
IDEX VAR BIOMASSE (IVB),FR,France,BRIGNOLES,2023,NOX,142000
TOTALENERGIES - CENTRALE ELECTRIQUE BAYET,FR,France,BAYET,2023,NOX,104000
TOTALENERGIES - CENTRALE ELECTRIQUE SAINT-AVOLD,FR,France,SAINT-AVOLD,2023,NOX,231000
O-I FRANCE SAS,FR,France,REIMS,2023,NOX,275000
CIMENTS CALCIA,FR,France,COUVROT,2023,NOX,938000
UNILIN SAS,FR,France,BAZEILLES,2023,NOX,308000
EXXONMOBIL CHEMICAL FRANCE,FR,France,PORT-JEROME-SUR-SEINE,2023,NOX,820000
ESSO RAFFINAGE,FR,France,PORT-JEROME-SUR-SEINE,2023,NOX,1600000
SYNDICAT MIXTE D ELIMINATION DES DECHETS DE L ARRONDISSEMENT DE ROUEN,FR,France,LE GRAND QUEVILLY,2023,NOX,105000
LAT NITROGEN FRANCE,FR,France,LE GRAND-QUEVILLY,2023,NOX,663000
LINEX PANNEAUX,FR,France,ALLOUVILLE-BELLEFOSSE,2023,NOX,136000
